State,CD,STATE_CD,Last_name,First_name,Party,PVI,Sixteen_Winner,Sixteen_Margin,Trump_tot,Clinton_tot,Twelve_winner,Twelve_Margin,Romney_tot,Obama_tot,Trump_net_percentage
NY,23,NY-23,REED, THOMAS ,R,R+ 6,Trump,15,54,39,Romney,1,50,48,4
NY,22,NY-22,TENNEY, CLAUDIA ,R,R+ 6,Trump,15,54,39,Romney,1,49,49,5
NC,13,NC-13,BUDD, TED ,R,R+ 6,Trump,9,53,44,Romney,7,53,46,0
FL,15,FL-15,ROSS, DENNIS ,R,R+ 6,Trump,10,53,43,Romney,6,53,47,0
OH,14,OH-14,JOYCE, DAVID ,R,R+ 5,Trump,11,53,42,Romney,3,51,48,2
WI,1,WI-1,RYAN, PAUL ,R,R+ 5,Trump,10,52,42,Romney,4,52,47,1
MN,1,MN-1,Walz, Tim ,D,R+ 5,Trump,15,53,38,Obama,0,48,49,5
IL,14,IL-14,HULTGREN, RANDALL ,R,R+ 5,Trump,4,48,45,Romney,10,54,44,-6
IL,12,IL-12,BOST, MICHAEL ,R,R+ 5,Trump,15,55,40,Obama,2,48,50,7
TX,32,TX-32,SESSIONS, PETE ,R,R+ 5,Clinton,2,47,48,Romney,16,57,42,-10
PA,16,PA-16,SMUCKER, LLOYD ,R,R+ 5,Trump,7,51,44,Romney,6,52,46,-1
FL,18,FL-18,MAST, BRIAN ,R,R+ 5,Trump,9,53,44,Romney,4,52,48,1
OH,1,OH-1,CHABOT, STEVE ,R,R+ 5,Trump,7,51,45,Romney,6,52,46,-1
NY,1,NY-1,ZELDIN, LEE ,R,R+ 5,Trump,12,54,42,Obama,1,49,50,5
FL,25,FL-25,DIAZ-BALART, MARIO ,R,R+ 4,Trump,2,50,48,Romney,10,55,45,-5
MN,8,MN-8,Nolan, Rick ,D,R+ 4,Trump,16,54,38,Obama,6,46,52,8
PA,15,PA-15,DENT, CHARLES ,R,R+ 4,Trump,8,52,44,Romney,3,51,48,1
MI,6,MI-6,UPTON, FRED ,R,R+ 4,Trump,8,51,43,Romney,1,50,49,1
MI,8,MI-8,BISHOP, MIKE ,R,R+ 4,Trump,7,51,44,Romney,3,51,48,-1
CA,48,CA-48,ROHRABACHER, DANA ,R,R+ 4,Clinton,2,46,48,Romney,12,55,43,-9
MI,11,MI-11,TROTT, DAVE ,R,R+ 4,Trump,4,49,45,Romney,5,52,47,-3
NE,2,NE-2,BACON, DON ,R,R+ 4,Trump,2,47,45,Romney,7,53,46,-5
WA,3,WA-3,HERRERA BEUTLER, JAIME ,R,R+ 4,Trump,7,50,43,Romney,2,50,48,0
OH,10,OH-10,TURNER, MIKE ,R,R+ 4,Trump,7,51,44,Romney,2,50,48,1
NY,21,NY-21,STEFANIK, ELISE ,R,R+ 4,Trump,14,53,39,Obama,6,46,52,7
KS,3,KS-3,YODER, KEVIN ,R,R+ 4,Clinton,1,46,47,Romney,10,54,44,-8
NJ,11,NJ-11,FRELINGHUYSEN, RODNEY ,R,R+ 3,Trump,1,49,48,Romney,6,53,47,-4
CA,45,CA-45,WALTERS, MIMI ,R,R+ 3,Clinton,5,44,49,Romney,12,55,43,-11
VA,2,VA-2,TAYLOR, SCOTT ,R,R+ 3,Trump,3,48,45,Romney,2,51,49,-3
IL,13,IL-13,DAVIS, RODNEY ,R,R+ 3,Trump,5,50,44,Romney,0,49,49,1
NY,11,NY-11,DONOVAN, DAN ,R,R+ 3,Trump,10,53,44,Obama,4,47,52,6
NJ,7,NJ-7,LANCE, LEONARD ,R,R+ 3,Clinton,1,48,49,Romney,6,53,47,-6
NY,2,NY-2,KING, PETER ,R,R+ 3,Trump,9,53,44,Obama,4,47,52,5
NJ,5,NJ-5,Gottheimer, Joshua ,D,R+ 3,Trump,1,49,48,Romney,3,52,49,-3
AZ,1,AZ-1,O’Halleran, Tom ,D,R+ 2,Trump,1,47,46,Romney,3,50,48,-3
ME,2,ME-2,POLIQUIN, BRUCE ,R,R+ 2,Trump,10,51,41,Obama,9,44,53,7
PA,6,PA-6,COSTELLO, RYAN ,R,R+ 2,Clinton,1,48,48,Romney,2,51,48,-3
NJ,3,NJ-3,MACARTHUR, TOM ,R,R+ 2,Trump,6,51,45,Obama,5,48,52,4
MN,2,MN-2,LEWIS, JASON ,R,R+ 2,Trump,1,46,45,Obama,0,49,49,-3
IL,6,IL-6,ROSKAM, PETER ,R,R+ 2,Clinton,7,43,50,Romney,8,53,45,-11
NY,19,NY-19,FASO, JOHN ,R,R+ 2,Trump,7,50,44,Obama,6,46,52,4
PA,8,PA-8,FITZPATRICK, BRIAN ,R,R+ 2,Trump,0,48,48,Romney,0,49,49,-1
NV,3,NV-3,Rosen, Jacky ,D,R+ 2,Trump,1,48,47,Obama,4,49,49,-1
NH,1,NH-1,Shea-Porter, Carol ,D,R+ 2,Trump,2,48,46,Obama,2,48,50,-1
IA,3,IA-3,YOUNG, DAVID ,R,R+ 1,Trump,4,48,45,Obama,4,47,51,1
PA,7,PA-7,MEEHAN, PATRICK ,R,R+ 1,Clinton,2,47,49,Romney,2,50,49,-3
TX,23,TX-23,HURD, WILL ,R,R+ 1,Clinton,4,46,49,Romney,3,51,48,-5
CA,49,CA-49,ISSA, DARRELL ,R,R+ 1,Clinton,8,43,51,Romney,7,52,46,-9
PA,17,PA-17,Cartwright, Matthew ,D,R+ 1,Trump,10,53,43,Obama,12,43,55,10
NY,18,NY-18,Maloney, Sean Patrick ,D,R+ 1,Trump,2,49,47,Obama,4,47,51,2
NJ,2,NJ-2,LOBIONDO, FRANK ,R,R+ 1,Trump,5,51,46,Obama,8,46,54,5
AZ,2,AZ-2,MCSALLY, MARTHA ,R,R+ 1,Clinton,5,44,49,Romney,2,50,48,-6
WA,8,WA-8,REICHERT, DAVE ,R,EVEN,Clinton,3,45,48,Obama,2,48,50,-3
CA,25,CA-25,KNIGHT, STEVE ,R,EVEN,Clinton,7,43,50,Romney,2,50,48,-6
CA,39,CA-39,ROYCE, ED ,R,EVEN,Clinton,9,43,51,Romney,4,51,47,-8
WI,3,WI-3,Kind, Ron ,D,EVEN,Trump,5,49,44,Obama,11,44,55,5
CA,10,CA-10,DENHAM, JEFF ,R,EVEN,Clinton,3,45,48,Obama,4,47,51,-2
OR,4,OR-4,DeFazio, Peter ,D,EVEN,Clinton,0,44,45,Obama,7,45,51,0
FL,7,FL-7,Murphy, Stephanie ,D,EVEN,Clinton,7,44,51,Obama,0,50,50,-6
OR,5,OR-5,Schrader, Kurt ,D,EVEN,Clinton,4,42,46,Obama,3,47,50,-5
IA,2,IA-2,Loebsack, Dave ,D,D+ 1,Trump,4,49,44,Obama,13,43,56,6
VA,10,VA-10,COMSTOCK, BARBARA ,R,D+ 1,Clinton,10,42,52,Romney,2,51,49,-9
NY,3,NY-3,Suozzi, Thomas ,D,D+ 1,Clinton,6,45,51,Obama,3,48,51,-3
IA,1,IA-1,BLUM, ROD ,R,D+ 1,Trump,4,48,45,Obama,14,42,56,6
MN,3,MN-3,PAULSEN, ERIK ,R,D+ 1,Clinton,9,41,50,Obama,1,49,50,-8
NH,2,NH-2,Kuster, Ann ,D,D+ 2,Clinton,2,45,48,Obama,10,44,54,1
CA,36,CA-36,Ruiz, Raul ,D,D+ 2,Clinton,9,43,52,Obama,3,48,51,-4
CT,5,CT-5,Esty, Elizabeth ,D,D+ 2,Clinton,4,46,50,Obama,8,45,54,1
FL,13,FL-13,Crist, Charlie ,D,D+ 2,Clinton,3,46,50,Obama,11,45,55,2
CO,6,CO-6,COFFMAN, MIKE ,R,D+ 2,Clinton,9,41,50,Obama,5,47,52,-5
NV,4,NV-4,Kihuen, Ruben ,D,D+ 3,Clinton,5,45,50,Obama,11,44,54,1
IL,17,IL-17,Bustos, Cheri ,D,D+ 3,Trump,1,47,47,Obama,17,41,57,6
CA,7,CA-7,Bera, Ami ,D,D+ 3,Clinton,11,40,51,Obama,4,47,51,-7
CT,2,CT-2,Courtney, Joe ,D,D+ 3,Clinton,3,46,49,Obama,13,43,56,3
NY,24,NY-24,KATKO, JOHN ,R,D+ 3,Clinton,4,45,49,Obama,16,41,57,4
AZ,9,AZ-9,Sinema, Kyrsten ,D,D+ 4,Clinton,16,38,54,Obama,5,47,51,-9
NY,4,NY-4,Rice, Kathleen ,D,D+ 4,Clinton,10,43,53,Obama,12,43,56,0
MI,9,MI-9,Levin, Sander ,D,D+ 4,Clinton,8,44,51,Obama,15,42,57,2
MA,9,MA-9,Keating, William ,D,D+ 4,Clinton,11,41,52,Obama,12,43,55,-2
CA,3,CA-3,Garamendi, John ,D,D+ 5,Clinton,13,40,53,Obama,11,43,54,-3
FL,9,FL-9,Soto, Darren ,D,D+ 5,Clinton,13,42,55,Obama,12,44,56,-2
FL,27,FL-27,ROS-LEHTINEN, ILEANA ,R,D+ 5,Clinton,20,39,59,Obama,7,47,53,-8
MI,5,MI-5,Kildee, Daniel ,D,D+ 5,Clinton,4,45,50,Obama,22,38,61,7
CA,21,CA-21,VALADAO, DAVID ,R,D+ 5,Clinton,15,39,55,Obama,11,44,55,-4
WA,10,WA-10,Heck, Denny ,D,D+ 5,Clinton,11,40,51,Obama,15,41,56,-1
MD,6,MD-6,Delaney, John ,D,D+ 6,Clinton,15,40,55,Obama,12,43,55,-3
